Current Depth: -10, Current Depth Rate: 0.0, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.0, Current Depth Rate: -0.024, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00006, Current Depth Rate: -0.048, Thrust in z direction: -9.542399999999999, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00018, Current Depth Rate: -0.071856, Thrust in z direction: -9.542399999999999, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.000359640000001, Current Depth Rate: -0.095712, Thrust in z direction: -9.4851456, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.000598920000002, Current Depth Rate: -0.119424864, Thrust in z direction: -9.4851456, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.000897482160001, Current Depth Rate: -0.14313772800000002, Thrust in z direction: -9.4282347264, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00125532648, Current Depth Rate: -0.16670831481600001, Thrust in z direction: -9.4282347264, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.001672097267042, Current Depth Rate: -0.190278901632, Thrust in z direction: -9.371665318041599, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.002147794521122, Current Depth Rate: -0.213708064927104, Thrust in z direction: -9.371665318041599, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00268206468344, Current Depth Rate: -0.237137228222208, Thrust in z direction: -9.31543532613335, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.003274907753994, Current Depth Rate: -0.2604258165375414, Thrust in z direction: -9.31543532613335, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.003925972295338, Current Depth Rate: -0.28371440485287475, Thrust in z direction: -9.25954271417655, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00463525830747, Current Depth Rate: -0.3068632616383161, Thrust in z direction: -9.25954271417655, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.005402416461566, Current Depth Rate: -0.3300121184237575, Thrust in z direction: -9.20398545789149, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.006227446757626, Current Depth Rate: -0.35302208206848623, Thrust in z direction: -9.20398545789149, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.007110001962797, Current Depth Rate: -0.37603204571321497, Thrust in z direction: -9.148761545144142, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.00805008207708, Current Depth Rate: -0.39890394957607533, Thrust in z direction: -9.148761545144142, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.009047341951021, Current Depth Rate: -0.4217758534389357, Thrust in z direction: -9.093868975873276, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.010101781584618, Current Depth Rate: -0.4445105258786189, Thrust in z direction: -9.093868975873276, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.011213057899315, Current Depth Rate: -0.4672451983183021, Thrust in z direction: -9.039305762018037, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.012381170895111, Current Depth Rate: -0.48984346272334717, Thrust in z direction: -9.039305762018037, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.01360577955192, Current Depth Rate: -0.5124417271283923, Thrust in z direction: -8.98506992744593, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.01488688386974, Current Depth Rate: -0.5349044019470072, Thrust in z direction: -8.98506992744593, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.016224144874608, Current Depth Rate: -0.557367076765622, Thrust in z direction: -8.931159507881253, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.017617562566521, Current Depth Rate: -0.5796949755353251, Thrust in z direction: -8.931159507881253, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.019066800005358, Current Depth Rate: -0.6020228743050282, Thrust in z direction: -8.877572550833966, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.02057185719112, Current Depth Rate: -0.6242168056821131, Thrust in z direction: -8.877572550833966, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.022132399205326, Current Depth Rate: -0.646410737059198, Thrust in z direction: -8.824307115528962, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.023748426047973, Current Depth Rate: -0.6684715048480204, Thrust in z direction: -8.824307115528962, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.025419604810093, Current Depth Rate: -0.6905322726368428, Thrust in z direction: -8.771361272835788, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.027145935491685, Current Depth Rate: -0.7124606758189322, Thrust in z direction: -8.771361272835788, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.028927087181232, Current Depth Rate: -0.7343890790010217, Thrust in z direction: -8.718733105198773, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.030763059878735, Current Depth Rate: -0.7561859117640186, Thrust in z direction: -8.718733105198773, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.032653524658146, Current Depth Rate: -0.7779827445270155, Thrust in z direction: -8.66642070656758, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.034598481519463, Current Depth Rate: -0.7996487962934345, Thrust in z direction: -8.66642070656758, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.036597603510197, Current Depth Rate: -0.8213148480598536, Thrust in z direction: -8.614422182328175, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.038650890630347, Current Depth Rate: -0.842850903515674, Thrust in z direction: -8.614422182328175, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.040758017889136, Current Depth Rate: -0.8643869589714945, Thrust in z direction: -8.562735649234206, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.042918985286564, Current Depth Rate: -0.88579379809458, Thrust in z direction: -8.562735649234206, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.0451334697818, Current Depth Rate: -0.9072006372176655, Thrust in z direction: -8.511359235338801, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.047401471374846, Current Depth Rate: -0.9284790353060125, Thrust in z direction: -8.511359235338801, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.04972266896311, Current Depth Rate: -0.9497574333943595, Thrust in z direction: -8.460291079926769, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.052097062546595, Current Depth Rate: -0.9709081610941764, Thrust in z direction: -8.460291079926769, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.054524332949331, Current Depth Rate: -0.9920588887939934, Thrust in z direction: -8.409529333447209, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.057004480171315, Current Depth Rate: -1.0130827121276114, Thrust in z direction: -8.409529333447209, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.059537186951633, Current Depth Rate: -1.0341065354612293, Thrust in z direction: -8.359072157446525, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.062122453290286, Current Depth Rate: -1.0550042158548456, Thrust in z direction: -8.359072157446525, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.064759963829923, Current Depth Rate: -1.0759018962484619, Thrust in z direction: -8.308917724501844, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.067449718570543, Current Depth Rate: -1.0966741905597166, Thrust in z direction: -8.308917724501844, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.070191404046943, Current Depth Rate: -1.1174464848709713, Thrust in z direction: -8.259064218154835, desired depth: -20, desired depth rate: -8.0
